21.49 21.44
21.49 -21.44
-21.49 -21.44
-21.49 21.44
121.753 21.44
121.753 -21.44
78.7728 -21.44
78.7728 21.44
79.444 -94.721
42.3088 -116.161
20.8188 -78.9392
57.954 -57.4992
-42.3088 -116.161
-79.444 -94.721
-57.954 -57.4992
-20.8188 -78.9392
-121.753 -21.44
-121.753 21.44
-78.7728 21.44
-78.7728 -21.44
-79.444 94.721
-42.3088 116.161
-20.8188 78.9392
-57.954 57.4992
42.3088 116.161
79.444 94.721
57.954 57.4992
20.8188 78.9392
50.1314 13.9375
50.1314 -13.9375
37.1359 -36.4463
12.9955 -50.3838
-12.9955 -50.3838
-37.1359 -36.4463
-50.1314 -13.9375
-50.1314 13.9375
-37.1359 36.4463
-12.9955 50.3838
12.9955 50.3838
37.1359 36.4463
63.1269 36.4463
87.2673 50.3838
63.1269 -36.4463
87.2673 -50.3838
0 -72.8926
0 -100.768
-63.1269 -36.4463
-87.2673 -50.3838
-63.1269 36.4463
-87.2673 50.3838
1.70685e-15 72.8926
-1.70685e-15 100.768
150.394 13.9375
150.394 -13.9375
137.399 -36.4463
113.258 -50.3838
100.263 -72.8926
100.263 -100.768
87.2673 -123.276
63.1269 -137.214
37.1359 -137.214
12.9955 -123.276
-12.9955 -123.276
-37.1359 -137.214
-63.1269 -137.214
-87.2673 -123.276
-100.263 -100.768
-100.263 -72.8926
-113.258 -50.3838
-137.399 -36.4463
-150.394 -13.9375
-150.394 13.9375
-137.399 36.4463
-113.258 50.3838
-100.263 72.8926
-100.263 100.768
-87.2673 123.276
-63.1269 137.214
-37.1359 137.214
-12.9955 123.276
12.9955 123.276
37.1359 137.214
63.1269 137.214
87.2673 123.276
100.263 100.768
100.263 72.8926
113.258 50.3838
137.399 36.4463
