0.666666666667 0.666666666667 0.666666666667 0.62 0.62 1 1 0.62 1 1 1 1 1 1 1 1 1 0.62 0.62 1 1 1 1 1 1 1 1 1
0.666666666667 0.666666666667 0.62 0.666666666667 1 0.62 0.62 1 1 1 1 1 1 1 1 1 0.62 1 1 0.62 1 1 1 1 1 1 1 1
0.666666666667 0.62 0.666666666667 0.666666666667 1 0.62 0.62 1 1 1 1 1 1 1 1 1 0.62 1 1 0.62 1 1 1 1 1 1 1 1
0.62 0.666666666667 0.666666666667 0.666666666667 0.62 1 1 0.62 1 1 1 1 1 1 1 1 1 0.62 0.62 1 1 1 1 1 1 1 1 1
0.62 1 1 0.62 0.666666666667 0.666666666667 0.666666666667 0.62 1 1 1 1 1 1 1 1 1 0.62 0.62 1 1 1 1 1 1 1 1 1
1 0.62 0.62 1 0.666666666667 0.666666666667 0.62 0.666666666667 1 1 1 1 1 1 1 1 0.62 1 1 0.62 1 1 1 1 1 1 1 1
1 0.62 0.62 1 0.666666666667 0.62 0.666666666667 0.666666666667 1 1 1 1 1 1 1 1 0.62 1 1 0.62 1 1 1 1 1 1 1 1
0.62 1 1 0.62 0.62 0.666666666667 0.666666666667 0.666666666667 1 1 1 1 1 1 1 1 1 0.62 0.62 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0.62 0.62 1 1 0.62 0.62 1 1 1 1 1 1 1 1 1 0.666666666667 0.666666666667 0.666666666667 0.62 1 1 1 1 1 1 1 1
0.62 1 1 0.62 0.62 1 1 0.62 1 1 1 1 1 1 1 1 0.666666666667 0.666666666667 0.62 0.666666666667 1 1 1 1 1 1 1 1
1 0.62 0.62 1 1 0.62 0.62 1 1 1 1 1 1 1 1 1 0.666666666667 0.62 0.666666666667 0.666666666667 1 1 1 1 1 1 1 1
0.62 1 1 0.62 0.62 1 1 0.62 1 1 1 1 1 1 1 1 0.62 0.666666666667 0.666666666667 0.666666666667 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
