0 90 135.1 180 0 23.16 36.82 0 63.48 81.4 90.38 65.21 114.9 131 135.2 112.9 163.3 180 180 156.8 216 236 233.7 204.4 282.4 308.3 315.3 269.3 14.68 51.01 74.88 96.74 115.6 135.4 153.7 174 194.4 220 253.6 316.2 340.2 336.2 54.27 47.52 102.8 99.97 145.6 146.6 190.1 194.9 247.3 254.8 3.331 15.35 26.54 38.05 50.14 57.19 65.56 75.29 84.37 93.36 103.4 110.3 118.1 126.9 134.9 142.2 151.9 160 168.4 177.5 185.4 192.1 202.9 213.1 223.1 233.8 243.1 251.3 265.2 277.7 289.8 302.9 314.8 326.8 342.5 352.6 
270 0 180 224.9 336.8 0 0 323.2 51.66 77.6 90.67 44.68 124 144 155.6 126.3 180 196.7 203.2 180 229 245.1 247.1 224.8 278.6 296.5 294.8 269.6 309 345.3 43.8 106.4 140 165.6 186 206.3 224.6 244.4 263.3 285.1 305.7 312.5 19.82 23.75 112.7 105.2 169.9 165.1 214.4 213.4 257.2 260 344.7 356.7 7.377 17.51 33.15 45.2 57.14 70.22 82.3 94.77 108.7 116.9 126.2 136.9 146.9 157.1 167.9 174.6 182.5 191.6 200 208.1 217.8 225.1 233.1 241.9 249.7 256.6 266.6 275.6 284.7 294.4 302.8 309.9 322 333.5 
315.1 0 0 270 343.3 0 0 336.8 35.98 56.04 53.65 24.41 102.4 128.3 135.3 89.33 180 203.2 216.8 180 243.5 261.4 270.4 245.2 294.9 311 315.2 292.9 333.7 354 14.36 40.01 73.64 136.2 194.7 231 254.9 276.7 295.6 315.4 325.6 326.6 10.06 14.9 67.33 74.84 160.2 156.2 234.3 227.5 282.8 280 348.4 357.5 5.395 12.12 22.91 33.09 43.12 53.84 63.14 71.29 85.23 97.7 109.8 122.9 134.8 146.8 162.5 172.6 183.3 195.3 206.5 218 230.1 237.2 245.6 255.3 264.4 273.4 283.4 290.3 298.1 306.9 314.9 322.2 331.9 340 
0 44.93 90 0 0 16.67 23.16 0 49.01 65.13 67.15 44.82 98.6 116.5 114.8 89.62 156.8 180 180 143.2 231.7 257.6 270.7 224.7 304 324 335.6 306.3 5.98 26.29 44.64 64.35 83.26 105.1 129 165.3 223.8 286.4 320 345.6 349.9 345.1 34.38 33.44 77.17 80.03 125.7 132.5 199.8 203.8 292.7 285.2 2.499 11.63 20.02 28.06 37.77 45.11 53.07 61.93 69.72 76.6 86.64 95.63 104.7 114.4 122.8 129.9 142 153.5 164.7 176.7 187.4 197.5 213.2 225.2 237.1 250.2 262.3 274.8 288.7 296.9 306.2 316.9 326.9 337.1 347.9 354.6 
180 156.8 163.3 180 0 90 135.1 180 110 120 135.2 128.9 140 150 156.3 144.9 170 180 180 167.9 200 210 202 191.3 230 240 209.5 209.7 174 153.7 145.6 146.6 151.9 160 168.4 177.5 185.4 192.1 194.9 190.1 194.4 220 135.4 115.6 142.2 134.9 162.6 161 184.6 187.9 202.9 213.1 14.68 51.01 74.88 96.75 102.8 99.97 103.4 110.3 118.1 126.9 133 135 139.4 145.3 151.2 157 163 167.4 172.6 178.4 183.3 187 193 199.7 206 212.1 216.1 217.1 223.1 233.8 243.1 251.3 254.8 247.3 253.6 316.2 
203.2 180 180 196.7 270 0 180 224.9 120 130 150.3 150.5 150 160 168.7 158 180 190 192.1 180 210 220 215.1 203.7 240 250 231.1 224.8 206.3 186 169.9 165.1 167.9 174.6 182.5 191.6 200 208.1 213.4 214.4 224.6 244.4 165.6 140 157.1 146.9 175.4 172.1 197.4 199 217.8 225.1 309 345.3 43.8 106.4 112.7 105.2 108.7 116.9 126.2 136.9 142.9 143.9 147.9 154 160.3 167 173 176.7 181.6 187.4 192.6 197 203 208.8 214.7 220.6 225 227 233.1 241.9 249.7 256.6 260 257.2 263.3 285.1 
216.8 180 180 203.2 315.1 0 0 270 89.48 111.1 135.2 120 142 155.1 165.2 150 180 192.1 195.2 180 216.3 228.7 225.2 210 255.2 270.3 255.2 240 231 194.7 160.2 156.2 162.5 172.6 183.3 195.3 206.5 218 227.5 234.3 254.9 276.7 136.2 73.64 146.8 134.8 174 170.1 202.2 203.4 230.1 237.2 333.7 354 14.36 40.01 67.33 74.84 85.23 97.7 109.8 122.9 132 135 140.8 148.5 156.1 164 171.4 176 181.9 188.8 195 200.5 207.8 214.3 221.1 228.2 233.8 237.6 245.6 255.3 264.4 273.4 280 282.8 295.6 315.4 
180 143.2 156.8 180 0 44.93 90 0 89.67 104.8 120 104.8 131.3 143.7 150 134.8 167.9 180 180 164.8 204.9 218 210 194.8 248.9 270.5 240 224.8 165.3 129 125.7 132.5 142 153.5 164.7 176.7 187.4 197.5 203.8 199.8 223.8 286.4 105.1 83.26 129.9 122.8 157.8 156.6 186 189.9 213.2 225.2 5.98 26.29 44.64 64.35 77.17 80.03 86.64 95.63 104.7 114.4 122.4 126.2 131.8 138.9 145.7 152.2 159.5 165 171.2 178.1 184 188.6 196 203.9 211.5 219.2 225 228 237.1 250.2 262.3 274.8 285.2 292.7 320 345.6 
243.5 231.7 216 229 290 300 269.5 269.7 0 150 195.1 240 170 180 195.2 188.9 200 210 216.3 204.9 230 240 240 227.9 260 270 262 251.3 254.9 250.1 234 213.7 205.6 206.6 211.9 220 228.4 237.5 245.4 252.1 262.9 273.1 254.4 280 195.4 175.6 202.2 194.9 222.6 221 244.6 247.9 303.1 311.3 314.8 307.3 313.6 16.2 74.68 111 134.9 156.7 162.8 160 163.4 170.3 178.1 186.9 193 195 199.4 205.3 211.2 217 223 227.4 232.6 238.4 243.3 247 253 259.7 266 272.1 276.1 277.1 283.1 293.8 
261.4 257.6 236 245.1 300 310 291.1 284.8 330 0 240 284.9 180 190 210.3 210.5 210 220 228.7 218 240 250 252.1 240 270 280 275.1 263.7 273.4 274.4 266.3 246 229.9 225.1 227.9 234.6 242.5 251.6 260 268.1 277.8 285.1 284.6 304.4 225.6 200 217.1 206.9 235.4 232.1 257.4 259 309.7 316.6 320 317.2 323.3 345.1 8.993 45.32 103.8 166.4 172.7 165.2 168.7 176.9 186.2 196.9 202.9 203.9 207.9 214 220.3 227 233 236.7 241.6 247.4 252.6 257 263 268.8 274.7 280.6 285 287 293.1 301.9 
270.4 270.7 233.7 247.1 315.2 330.3 315.2 300 15.07 60 0 330 149.5 171.1 195.2 180 202 215.1 225.2 210 240 252.1 255.2 240 276.3 288.7 285.2 270 287.5 294.3 291 254.7 220.2 216.2 222.5 232.6 243.3 255.3 266.5 278 290.1 297.2 314.9 336.7 196.2 133.6 206.8 194.8 234 230.1 262.2 263.4 324.4 333.4 340 342.8 355.6 15.36 33.71 54.02 74.36 100 127.3 134.8 145.2 157.7 169.8 182.9 192 195 200.8 208.5 216.1 224 231.4 236 241.9 248.8 255 260.5 267.8 274.3 281.1 288.2 293.8 297.6 305.6 315.3 
245.2 224.7 204.4 224.8 308.9 330.5 300 284.8 60 104.9 150 0 149.7 164.8 180 164.8 191.3 203.7 210 194.8 227.9 240 240 224.8 264.9 278 270 254.8 263.8 259.8 225.3 189 185.7 192.5 202 213.5 224.7 236.7 247.4 257.5 273.2 285.2 283.8 346.4 165.1 143.3 189.9 182.8 217.8 216.6 246 249.9 322.3 334.8 345.2 352.7 19.99 45.64 65.98 86.29 104.6 124.4 137.2 140 146.6 155.6 164.7 174.4 182.4 186.2 191.8 198.9 205.7 212.2 219.5 225 231.2 238.1 244 248.6 256 263.9 271.5 279.2 285 288 297.1 310.2 
